dataset,model,reordering,k,k_star,alpha,mean_ms_per_epoch,std_ms_per_epoch,epochs_measured,val_acc,train_acc,cache_coverage_pct,temporal_reuse_ratio,estimated_miss_rate,mean_train_degree
ogbn-arxiv,GraphSAGE,baseline,N/A,3,N/A,947.3,16.918,20,0.5188,0.5218,48.38,78.37,51.62,4.18
ogbn-arxiv,GraphSAGE,rcm,N/A,3,N/A,950.114,23.48,20,0.5297,0.5264,48.38,80.23,51.62,6.77
ogbn-arxiv,GraphSAGE,metis_kstar,3,3,1.0,946.074,11.659,20,0.5223,0.5254,48.38,79.84,51.62,6.75
ogbn-arxiv,GraphSAGE,hybrid_kstar,3,3,1.0,937.953,19.205,20,0.5172,0.5302,48.38,80.42,51.62,6.88
ogbn-arxiv,GraphSAGE,metis_kstar_a1.25,3,3,1.25,938.812,15.167,20,0.5252,0.5259,48.38,79.86,51.62,6.79
ogbn-arxiv,GraphSAGE,hybrid_kstar_a1.25,3,3,1.25,944.489,12.288,20,0.5079,0.5211,48.38,80.39,51.62,6.85
ogbn-arxiv,GraphSAGE,baseline,N/A,3,N/A,956.448,22.052,50,0.5841,0.5987,48.38,78.32,51.62,4.16
ogbn-arxiv,GAT,baseline,N/A,3,N/A,1690.839,156.386,50,0.5339,0.5219,48.38,78.32,51.62,4.16
ogbn-arxiv,GraphSAGE,rcm,N/A,3,N/A,979.001,21.366,50,0.5767,0.5787,48.38,80.33,51.62,6.8
ogbn-arxiv,GAT,rcm,N/A,3,N/A,1667.868,150.103,50,0.5021,0.4972,48.38,80.33,51.62,6.8
ogbn-arxiv,GraphSAGE,metis_k4,4,3,N/A,994.423,48.308,50,0.5718,0.5795,48.38,80.17,51.62,6.92
ogbn-arxiv,GAT,metis_k4,4,3,N/A,1519.8,43.003,50,0.4979,0.4995,48.38,80.17,51.62,6.92
ogbn-arxiv,GraphSAGE,metis_k8,8,3,N/A,956.136,21.551,50,0.579,0.5803,48.38,80.12,51.62,6.88
ogbn-arxiv,GAT,metis_k8,8,3,N/A,1522.513,24.117,50,0.5004,0.5011,48.38,80.12,51.62,6.88
ogbn-arxiv,GraphSAGE,metis_k16,16,3,N/A,966.318,17.91,50,0.5779,0.5821,48.38,79.96,51.62,6.84
ogbn-arxiv,GAT,metis_k16,16,3,N/A,1526.007,25.304,50,0.4982,0.4988,48.38,79.96,51.62,6.84
ogbn-arxiv,GraphSAGE,metis_k32,32,3,N/A,971.802,14.814,50,0.5797,0.5832,48.38,80.09,51.62,6.89
ogbn-arxiv,GAT,metis_k32,32,3,N/A,1551.576,71.418,50,0.4987,0.5003,48.38,80.09,51.62,6.89
ogbn-arxiv,GraphSAGE,metis_kstar,3,3,1.0,970.71,32.543,50,0.5783,0.5797,48.38,80.07,51.62,6.83
ogbn-arxiv,GAT,metis_kstar,3,3,1.0,1538.401,32.51,50,0.4986,0.502,48.38,80.07,51.62,6.83
ogbn-arxiv,GraphSAGE,hybrid_kstar,3,3,1.0,961.671,29.409,50,0.5656,0.5846,48.38,80.35,51.62,6.83
